group,variable,value
QY_3_2,vIL27,3.565
QY_3_2,vIL28,-8.204
QY_3_2,vIL3,101.76
QY_3_2,vIL31,29.427
QY_3_2,vIL4,27.176
QY_3_2,vIL5,96.355
QY_3_2,vIL6,21.739
QY_3_2,vIL9,9.911
QY_3_2,vIP10,85.411
QY_3_2,vLIF,161.023
QY_3_2,vLIX,46.746
QY_3_2,vMCSF,-4.718
QY_3_2,vMCP1,13.132
QY_3_2,vMCP3,92.852
QY_3_2,vMIP1A,142.855
QY_3_2,vMIP1B,118.617
QY_3_2,vMIP2,43.454
QY_3_2,vRANTES,135.932
QY_3_2,vTGFB,58.485
QY_3_2,vTNFA,-25.063
